Taxonomy,36_1,37_1,41_1,49_1,38_1,28_1,4_1,15_1,13_1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia,1,1,1,0,0,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;metagenome,2,0,0,0,2,1,2,2,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;uncultured,32,13,13,8,10,8,14,25,9
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella;uncultured,1,6,18,3,2,2,3,10,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Butyrivibrio,4,20,2,3,2,0,1,4,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio,2,0,0,0,2,0,0,2,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;uncultured,3,24,3,1,0,0,1,5,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;Robinsoniella,4,0,4,0,2,2,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Butyrivibrio,3,7,5,0,0,0,1,12,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia,51,78,31,12,15,9,18,45,6
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;metagenome,4,63,12,2,1,2,3,7,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;uncultured,381,485,196,69,151,111,246,380,43
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;unidentified,1,0,0,0,0,1,0,1,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sellimonas;uncultured,1,19,3,6,2,0,0,8,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;uncultured,1,0,2,0,0,5,0,0,0
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella,104,6,15,0,9,4,7,15,4
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;uncultured,3,4,10,1,1,1,8,1,2
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Acetivibrio],38,36,6,6,23,7,11,30,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium],330,326,388,192,243,78,183,303,126
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus],345,265,88,21,374,96,52,222,167
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;butyrate-producing,1,1,3,0,2,0,0,1,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;metagenome,2,0,0,0,4,0,0,0,1
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;uncultured,123,169,71,31,74,39,74,129,61
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus;Desulfosporosinus,1,0,0,0,0,1,3,0,2
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;uncultured,1,0,4,0,0,0,0,14,0
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;SCADC1-2-3;terrestrial,1,2,0,0,1,0,0,0,0
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;metagenome,1,0,0,0,0,0,0,5,0
Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;uncultured,1,1,0,0,0,1,1,21,0
